Year,Month,Domestic residents,Residents of other participating EU Member States,Residents of the rest of the world,Total
2016,2,48011.54204756,3464.71485612,7703.54985118,59179.80675486
2016,3,46912.20452668,3338.09166001,7273.19047952,57523.4866662099
2016,4,46878.06875461,3375.06434656,7151.39235859,57404.52545976
2016,5,46633.84615344,1538.66263488,7168.51043147,55341.01921979
2016,6,45853.89099971,1542.34420893,7000.30902946,54396.5442381
2016,7,45636.53638194,1453.62232586,6970.56028862,54060.71899642
2016,8,46050.42693133,1456.43575687,6967.25300295,54474.11569115
2016,9,45536.41717966,1442.04728514,6903.61003106,53882.07449586
2016,10,45332.49732858,1428.66506474,7029.02114092,53790.18353424
2016,11,45395.35569887,1439.37913788,7084.00129524,53918.73613199
2016,12,45310.25895849,2704.33541465,7291.00230525,55305.59667839
2017,1,45190.62281372,2672.33045217,7191.00624697,55053.95951286
2017,2,45431.67803689,2647.96193413,7231.64200159,55311.28197261
2017,3,45306.44799114,2619.03277321,7088.77084717,55014.25161152
2017,4,45072.34523957,2584.27824964,6969.65024821,54626.27373742
2017,5,44810.11768873,2593.75792048,6707.34155575,54111.21716496
2017,6,45092.74485428,2670.52117856,6565.91860756,54329.1846404
2017,7,44726.02948965,2433.78684731,6430.79863304,53590.61497
2017,8,44203.8657406,2389.28156447,6337.44091772,52930.58822279
2017,9,43959.63533998,2329.51958452,6298.84541326,52588.00033776
2017,10,43838.06204007,2232.10937438,6401.84524113,52472.01665558
2017,11,43578.85805809,2218.58682978,6309.22850331,52106.67339118
2017,12,43115.35485845,2176.68059941,6059.28033359,51351.31579145
2018,1,42984.65208127,2131.37485423,5972.56548102,51088.5924165199
2018,2,42889.17813931,2161.49082315,6078.25201139,51128.92097385
