Year,Month,Total,Euro,Other,Of which USD,Of which GDP,Of which JPY,Of which CHF
2017,1,55053.95951286,43914.65827575,11139.30123711,8125.54424339,334.5029833,175.52369053,2032.49028048
2017,2,55311.28197261,43892.45943905,11418.82253356,8178.37689138,324.82130948,173.2317316,2023.62731997
2017,3,55014.25161152,43615.96698177,11398.28462975,8054.69685679,353.03443801,146.63333567,1916.17979022
2017,4,54626.27373742,43539.80764614,11086.46609128,7783.64216953,356.82507111,150.44082705,1885.83493725
2017,5,54111.21716496,43383.95183583,10727.26532913,7448.0902695,338.60183872,144.21854184,1918.73900651
2017,6,54329.1846404,43254.65335103,11074.53128937,8138.39226832,350.51535351,136.65646908,1883.55838525
2017,7,53590.61497,42873.33190105,10717.28306895,7856.81741733,343.65746125,134.64104166,1804.56164535
2017,8,52930.58822279,42371.43143115,10559.15679164,7695.67381798,325.3572027,133.60023605,1783.29784136
2017,9,52588.00033776,42057.85863845,10530.14169931,7706.2211491,349.93273982,130.48393505,1721.68408376
2017,10,52472.01665558,41852.30626494,10619.71039064,7834.86571682,345.46171393,140.93289971,1668.45026991
2017,11,52106.67339118,41656.92520984,10449.74818134,7712.73921684,356.30041476,139.07024683,1647.04594936
2017,12,51351.31579145,41211.77971931,10139.53607214,7505.22777739,355.70263729,136.4433985,1610.05535295
2018,1,51088.5924165199,41256.88462226,9831.70779426,7215.61505437,369.69884446,136.01700912,1617.02314713
2018,2,51128.92097385,41074.28524176,10054.63573209,7436.4845217,363.62372285,140.56437683,1623.65865441
2018,3,48667.32883574,38993.38162932,9673.94720642,7277.61444937,347.18674279,134.5654944,1440.21575003
