Year,Month,Total,Euro,Other,Of which USD,Of which GDP,Of which JPY,Of which CHF
2015,2,46481.81479974,35217.02810684,11264.78669290,9847.06364306,869.30773187,5.85441235,51.76735590
2015,3,46813.80341559,35105.07215138,11708.73126421,10265.58432902,873.14886981,6.37188394,51.30699142
2015,4,46378.64347392,35145.19341526,11233.45005866,9819.84707583,826.23415620,6.21683426,51.49214154
2015,5,46394.49736412,35113.27332038,11281.22404374,9871.75010786,837.84004599,6.65743183,51.36819213
2015,6,45777.11644367,35074.92440297,10702.19204070,9297.42608325,820.76329628,5.77673231,52.11549505
2015,7,46177.51237592,35221.20972000,10956.30265592,9519.28972809,811.97386856,6.23714864,48.88890282
2015,8,46330.02946276,35412.84608022,10917.18338254,9591.53268423,796.97596219,5.39842640,46.77632821
2015,9,46591.21080803,35635.19911254,10956.01169549,9585.79998650,803.93444833,5.06619113,47.36779492
2015,10,47078.90541939,36008.48983143,11070.41558796,9684.50435670,824.04209958,5.31400679,47.97125388
2015,11,47418.73655588,36248.37640624,11170.36014964,9748.47360155,861.77796873,5.76622442,57.75926282
2015,12,45967.87504234,36034.63244564,9933.24259670,8598.99640756,791.54559641,6.37645331,45.95344896
2016,1,46134.29969960,36111.32213006,10022.97756954,8710.24349756,770.60627076,4.69451675,45.63284380
2016,2,46219.42042128,36167.12940285,10052.29101843,8827.57750438,746.82612419,4.97519905,43.75510139
2016,3,45736.74981953,36195.14774918,9541.60207035,8272.91484107,746.17725523,4.11773905,46.03058821
2016,4,45893.24190950,36312.12228073,9581.11962877,8265.30756699,762.52234262,5.10958838,42.24676451
2016,5,46472.68510918,36719.90231122,9752.78279796,8410.47348335,776.65727365,4.34906425,41.21211148
2016,6,46805.41596813,37092.66589231,9712.75007582,8347.59489400,741.58395851,5.69130952,42.54438498
2016,7,47034.64099966,37156.23705906,9878.40394060,8508.00329020,750.13856802,13.73976919,43.61420455
2016,8,47900.35211465,37672.96967043,10227.38244422,8810.66365870,741.19675365,6.83852486,39.44441520
2016,9,47745.70147720,37799.04433228,9946.65714492,8665.04100311,731.82557668,5.82917168,35.29202520
2016,10,48334.17476062,38168.79907297,10165.37568765,8810.49239570,701.24285025,6.31858827,34.60990118
2016,11,48997.62334503,38406.00135707,10591.62198796,9152.57783259,735.25067513,8.05844729,36.64811538
2016,12,49008.92407096,38637.35417603,10371.56989493,9064.36945069,732.70902264,16.10572525,46.08919806
2017,1,48973.13042738,38729.28444704,10243.84598034,8945.43418650,721.19877173,8.49800740,47.80874067
2017,2,49300.80306097,38818.61340120,10482.18965977,9152.89280619,736.12048942,6.63164271,43.03912089
2017,3,49557.10575550,38999.90695879,10557.19879671,9305.76667723,722.75389615,6.70849491,40.33500575
2017,4,49204.45848716,39048.38723717,10156.07124999,8983.67920178,730.21420419,6.89612878,39.26716641
2017,5,49113.13284363,39312.69938620,9800.43345743,8437.25769951,723.75084444,12.75581697,38.03686135
2017,6,48519.27330914,39293.56086962,9225.71243952,7924.65372511,721.15716724,8.85901819,37.75126419
2017,7,48786.21406635,39556.75263199,9229.46143436,7828.46612610,729.73615922,8.91399487,37.00485718
2017,8,49139.26602284,39941.75528470,9197.51073814,7628.37012664,708.01579052,9.11945414,38.91341775
2017,9,49023.63824209,39917.42180156,9106.21644053,7502.04886392,731.59457815,4.99761235,35.57113142
2017,10,49476.94608126,40156.97977250,9319.96630876,7905.68938268,758.10663759,4.70108748,37.72141502
2017,11,49237.48927930,40365.93251605,8871.55676325,7597.42635118,727.03512010,4.83127081,50.82702844
2017,12,49402.15142622,40636.63600799,8765.51541823,7383.69559631,739.57584868,5.03061831,57.44815237
2018,1,48577.97283354,40344.87742804,8233.09540550,6897.80063848,730.04850308,5.20572098,55.72725347
2018,2,48692.16341664,40221.62815626,8470.53526038,7072.31232152,718.94404399,5.00752686,56.88379732
2018,3,47978.28289776,39726.69862103,8251.58427673,6759.03348563,710.25451999,11.13722123,53.14672580
