Year,Month,General Government,Other sectors,Of which Financial Intermediaries,Of which Insurance Corporations and Pension Funds,Non Financial Corporations,Households,Total
2013,12,421.93078791,46571.26091869,4831.79828404,2244.73009508,11425.09297337,27990.32764419,46993.19170660
2014,1,388.93112423,46513.84267656,5020.95930129,2301.60401848,11252.47949589,27859.81114368,46902.77380079
2014,2,386.89512631,46013.72372225,4856.96020334,2253.07386640,11116.32853525,27708.80767564,46400.61884856
2014,3,383.41584230,45802.61380935,4730.13182413,2203.24695216,11178.29142521,27612.41735136,46186.02965165
2014,4,367.93428061,46024.49095741,5313.53224578,2137.82973814,11050.12396667,27444.46770092,46392.42523802
2014,5,423.81226468,46491.28141893,5774.80671195,2118.58841048,11211.31547315,27308.11756846,46915.09368361
2014,6,406.84985750,46125.80864734,5288.71218906,2099.74185273,11458.58732403,27201.14889117,46532.65850484
2014,7,363.61766087,46208.93393084,5408.94427373,2097.22705962,11463.10633341,27162.34482943,46572.55159171
2014,8,358.51928239,46008.71464000,5489.06473843,2095.55570362,11338.32039177,27008.96282537,46367.23392239
2014,9,376.01367785,45593.05352145,5248.59516383,2114.51526508,11266.30111637,26877.48379431,45969.06719930
2014,10,382.88115110,45365.04480924,5167.33074400,2123.25669694,11230.56489835,26757.60462793,45747.92596034
2014,11,413.07105875,45378.15067253,4974.63263187,2103.51620246,11441.71261721,26772.01046037,45791.22173128
2014,12,477.89488246,45646.46412740,6397.26862665,2050.53873548,10013.89360465,27183.31081766,46124.35900986
2015,1,443.32216388,46076.77006399,6568.93474978,2136.43550786,10052.06864518,27317.87062982,46520.09222787
2015,2,424.36041743,46057.45438231,6557.59799155,2117.63377234,10047.96727879,27332.76875983,46481.81479974
2015,3,407.24312129,46406.56029430,6896.50540796,2017.38786294,10137.58257843,27353.75945593,46813.80341559
2015,4,411.41967526,45967.22379866,6678.85734185,2050.00478403,9935.28518350,27299.84595863,46378.64347392
2015,5,405.57158673,45988.92577739,6572.05168339,1973.43019861,10079.19504888,27361.19497013,46394.49736412
2015,6,406.90951268,45370.20693099,6379.49478774,1904.45088239,9680.81271903,27402.57600733,45777.11644367
2015,7,404.58529645,45772.92707947,6735.09749516,1875.11414535,9805.06991956,27354.67187893,46177.51237592
2015,8,405.57745243,45924.45201033,6790.50702295,1893.96916790,9908.85320811,27328.61341916,46330.02946276
2015,9,412.83621802,46178.37459001,6587.83004826,1973.35935187,10297.58087067,27318.41826641,46591.21080803
2015,10,449.44496527,46629.46045412,6551.06629230,1905.55540754,10750.67487516,27421.06321289,47078.90541939
2015,11,465.80091557,46952.93564031,6397.44046026,1894.00122474,11110.62459105,27549.57980872,47418.73655588
2015,12,495.39535347,45472.47968887,5652.87381844,1963.22031760,10111.65857514,27743.61934174,45967.87504234
2016,1,468.46925436,45665.83044524,5817.20197510,2009.44250042,10029.73467831,27808.45629466,46134.29969960
2016,2,477.38358802,45742.03683326,5531.89366456,2024.53429489,10385.59604278,27798.92891731,46219.42042128
2016,3,466.61462927,45270.13519026,5529.89922913,2019.56365652,10053.31614036,27665.79580468,45736.74981953
2016,4,469.57591796,45423.66599154,5509.47136587,2003.49502484,10079.29543432,27830.23428527,45893.24190950
2016,5,460.43449791,46012.25061127,5753.83820579,1999.67437118,10386.66681390,27870.74957405,46472.68510918
2016,6,468.97768662,46336.43828151,5746.98625178,2032.14991271,10570.35138742,27985.79106922,46805.41596813
2016,7,455.70635430,46578.93464536,5772.50971614,2007.21432967,10701.23793187,28096.75683019,47034.64099966
2016,8,909.39990271,46990.95221194,5930.49194606,2000.58172448,10946.86949592,28111.75126886,47900.35211465
2016,9,918.80933682,46826.89214038,5789.83382312,1984.35093925,10934.79862412,28116.73274992,47745.70147720
2016,10,909.43621704,47424.73854358,6139.31349151,1991.96820173,11111.64763876,28180.52150892,48334.17476062
2016,11,950.23475243,48047.38859260,6403.54889754,1983.25141697,11422.37685368,28237.26275436,48997.62334503
2016,12,988.87619723,48020.04787373,6320.11318685,1959.04089881,11182.58975566,28557.33182163,49008.92407096
2017,1,973.28887860,47999.84154878,6329.23045293,1992.74594894,11172.50797853,28504.55779559,48973.13042738
2017,2,973.17703474,48327.62602623,6398.23770111,2003.71900243,11377.15555922,28547.96180130,49300.80306097
2017,3,963.26629940,48593.83945610,6609.95877317,2006.90093895,11371.81508095,28604.26253631,49557.10575550
2017,4,942.37565333,48262.08283383,6263.46264366,1995.56327855,11390.26223294,28612.02516481,49204.45848716
2017,5,964.15989663,48148.97294700,6208.12377432,1983.66101605,11337.92084024,28617.16783825,49113.13284363
2017,6,864.29722423,47654.97608491,5724.59958276,1971.00726905,11232.77315479,28724.61329727,48519.27330914
2017,7,894.74087293,47891.47319342,6021.03789684,1965.94354218,11229.32764051,28672.91814430,48786.21406635
2017,8,947.21390653,48192.05211631,6255.71453249,1997.99255867,11357.15731655,28579.59337540,49139.26602284
2017,9,954.08450645,48069.55373564,6086.51480173,2025.75854192,11317.51653167,28638.22145621,49023.63824209
2017,10,971.26463508,48505.68144618,6233.34175609,1992.78068071,11517.87614664,28760.53438473,49476.94608126
2017,11,1029.88927684,48207.60000246,5926.17294908,1987.01667381,11569.78402919,28723.72567927,49237.48927930
2017,12,1068.32984310,48333.82158312,6112.15275106,1929.22782536,11378.35305242,28912.83566210,49402.15142622
2018,1,1031.64494959,47546.32788395,5783.89152557,1936.65413338,11116.99797349,28708.20202112,48577.97283354
2018,2,930.34051312,47761.82290352,5990.27357855,1911.36254606,11146.77109462,28712.88531899,48692.16341664
2018,3,818.36516657,47159.91773119,5759.07372348,1860.17848135,11023.41233212,28516.77089156,47978.28289776
